text,label
"এই গেরুয়া হিন্দুদের জন্য একজন সাধারণ হিন্দু হিসেবে লজ্জায় ডুবে আছি...ধন্যবাদ বোন, তুমার এই সাহসিকতার পরিচয় তুমি নিজেই...",0
"একটা উপদেশঃ আন্দোলন চালিয়ে যান,,,যতক্ষন না পর্যন্ত সম্পূর্ন ইসলামিক প্রতিষ্ঠানে আপনাদের ভর্তি হচ্ছে,,,ইনশাআল্লাহ আখিরাতে আপনাদের জন্য উত্তম প্রতিদান অপেক্ষা করছে,,,",0
বাংলাদেশে ধর্মীয় ইস্যুতে কোন হিন্দুর বিচার কী সম্ভব??,0
"স্কুল কলেজ ইউনিভার্সিটি39তে সরস্বতী পূজা হতে পারেএকজন শিখ পাঞ্জাবি, তারা ধর্ম পালন করতে গিয়ে মাথায় পাগড়ী পরে সরকারি দপ্তরে কাজ করতে পারে একজন হিন্দু কপালে তিলক লাগিয়ে গেরুয়া বস্ত্র পরিধান করে পার্লামেন্টের সদস্য হতে পারে তাহলে মুসলিম নারীরা মাথায় হিজাব বোরকা পরে স্কুল কলেজ ইউনিভার্সিটিতে কেনো যেতে পারে না ?পোশাক পরিচ্ছদ জীবনজীবিকা এবং প্রত্যেক জাতির ধর্মীয় স্বাধীনতার অধিকার সংবিধান দিয়েছে সেই স্বাধীনতায় হস্তক্ষেপ করা সরকারের কাজ নয়কর্ণাটক সরকারের জাতিভেদী মানসিকতার প্রতি তীব্র নিন্দা ও ধিক্কার জানাই",0
আমাদের দেশে পুলিশ এত ক্ষমতা পায় কোথায় থেকে এরা যেভাবে জোর দেখায় মনে হয় জনগন সব রোহিঙ্গা আর পুলিশ সব নাগরিক জনগনের বিরুদ্ধে সবসময় অবস্থান করেভাই আমাদের ধর্মে আঘাত করে সেটার প্রতিবাদ কি স্বাধীন দেশের স্বাধীন মানুষ করতে পারে না আপনারা এতে বাধা দেন কেন আপনি কি মুসলিম নন কোরআন কে এত অপমানিত করলো তাতে কি আপনাদের মনে আঘাত আসে নাইছিঃ বাংলাদেশের পুলিশ,0
আজকে নরেন্দ্র মোদিকে বাংলাদেশে এনে বাংলাদেশের সমস্যা তৈরি খুবই দুঃখের বিষয় এই জন্য ফেসবুক বন্ধ করে দেওয়া হল সবই হলো নরেন্দ্র মোদির কারণে,0
খোজ ভালো ভাবে নিয়ে দেখেন এত খনে এই ছেলেকে মেরে কোথাও ফেলে রেখেছে,0
টুকাই লীগে কর্মকান্ডের তিব্র নিন্দা জানাই,1
এরা সব ইয়াজিদি মোল্লা এদের আইনের আওতায় আনা হোক,1
মন্ডব বাংগার জন্য শাস্তি হবেআর কোরআন অবমাননা যারা করেছেন তাদের কি হবে???,1
"সামনে এগিয়ে যাও, এটির একটি সুষ্ঠু বিচার চাই আমরা",0
আমি আছি তো বেবি নু মুশকিল,0
ইসলামের স্বার্থে আমার ভিডিও গুলো শেয়ার করুন আমরা চাই মুসলিমদের উপর অত্যাচারের খবর পৃথিবীর সকল মুসলমানদের জানিয়ে দিতে যাতে তাদের চেতনা জাগ্রত হয় এবং আপনিও সাবস্ক্রাইব করে পাশে থাকুন,0
বাবা রে একটা মহিলা এত চিল্লাতে পারে এইসব ঝগড়াটে মহিলার জন্য সমাজ টা ধ্বংস হয়ে গেছে,1
"পুরো খবর জুড়ে মারামারির খবর বলে, শেষে বলে শান্তিপূর্ণ ভোট হয়েছে, তাই জনগণ খুশি,, এমন বিনোদন শুধু বাঙালি মিডিয়াতে পাওয়া যায়",0
কোরান অবমাননা না বলে পাওয়া গেছে বলেন কেন?,0
ওগ্রবাদ আর জঙ্গিবাদ কাকে বলে ভাই????? আপনার উত্তরের অপেক্ষায় আছি,0
"এই বেয়াদব, অসভ্য ব্যবসায়ীদের উচিত বিচার করা হোক, এরা সবসময় অসভ্যতা করে আর সবকিছুর দাম বেশি রাখে, ক্রেতাদের সাথে প্রতারণা করে",1
"তুমি মনে রেখ যুবক জুলুম চিরকাল থাকবে না, এর বিচার আল্লাহ একদিন করবেন ইনশাআল্লাহ",0
শিক্ষক ছাত্রদের উপর হামলা খুবই নেক্কারজনক ঘটনা,0
কুলাঙ্গারকে প্রকাশ্যে ফাঁসি দেওয়া হোক,2
কি বয়সে কি গোফ! কিশোর গ্যাং এর লিডার লাগতেছে,1
"অধিকাংশ পুলিশ হলো ইজরায়েল বাহিনীর ন্যায়, নিকৃষ্ট পাপী,, মুসলিমের জয় অবশ্যম্ভাবী,,,,, কারণ আল্লাহর শক্তির কাছে বুলেট বোমা খুবই সামান্য অস্ত্রই বটে,,",1
আমরা ভালোই আছি তোমরা একটু বিকৃতি ঘটানো বন্ধ করো,0
ভয় পেয়ে ও না আল্লাহ আছেন ইসলামের বিজয় হবেই খুব বেশি দেরি নাইতোমরা এগিয়ে যাও আল্লাহু আকবার,0
আজকে মনে হয় এই দেশে জন্ম নেটাই মনে হয় বিসাল পাপ,0
বাংলাদেশে আসলে উপহার হিসেবে জোতার মালা দেওয়া হোক সাথে পঁচা ডিমও,1
শুধু পতাকা না বাংলাদেশের প্রধানমন্ত্রীকে ও পুতুল বানিয়ে পোড়ানো হয়েছে ভারতে এর পরেও বাংলাদেশের দালালরা ভারতেই সাপোর্ট করে যাচ্ছে,1
বাংলাদেশ থেকে ভারতে মুসলিম অনেক বেশি আমরা সবাই আমাদের ভাই বোনদের জন্য দোয়া করবো ইনশাআল্লাহবিজয় একদিন হবেই ইসলামের ইনশাআল্লাহ,0
অভিজিৎকে কিসের জন্য মারা হইছে এটা বলা হইলো না হায়রে সাংবাদিক তোরা ও ইসলামের বিরুদ্ধে কথা বলোছ,1
তাকে ফাঁসিতে ঝুলানো হোক,2
বিচার থাকলে আজ এমন হতো না,0
ভারতের আজকের এই পরিস্থিতির জন্য? নরেন্দ্র মোদির উগ্রপন্থী হিন্দুত্ববাদী জংগী রা ই দায়ী শত বছরের ধর্ম নিরপক্ষেতা আজ হুমকি পরেছে,1
সাংবাদিক ভাই আপনি কি শুধু আওয়ামিলিগ সমপ্রচার করেন ওই চাকরি করেননা ওই চাকরির বেদনের টাকা দিয়ে আপনার বিবি বাচ্চা খাওয়াবেনহারাম হবে কিন্তু,1
আল্লাহ্ সকল মুসলিম ভাই ও বোনদের তুমি হেফাজত করুন,0
আমি বুঝিনা এই মালাওনের মাথা যদি খারাপই হয় তাহলে সে অন্য কোন গ্রন্থ না নিয়ে পবিত্র কোরআান কেই বেছে নিল কেন? আসলে এই মালাওন জেনে শুনে বুঝে এই অপকর্মটি করেছেতাই কোন ছাড় না দিয়ে এই মালাওনের চরম শাস্তি নিশ্চিত করা হোক,2
হলুদ মিডিয়া হাহা আর কতদিন ? মৃত্যু অনিবার্য জেনেও মিথ্যা সংবাদ প্রচার করো,1
